FC318,大菊,黃東陽
FC319,大菊,金莎黃
FC330,大菊,黃麵線菊
FC345,大菊,黃斯不列
FC350,大菊,黃乒乓
FC380,大菊,黃八媛
FC400,大菊,粉
FC401,大菊,杏紅
FC402,大菊,精英粉
FC403,大菊,簽粉
FC404,大菊,粉初鳳
FC405,大菊,千台英
FC406,大菊,平頭粉
FC407,大菊,硬枝粉
FC408,大菊,粉乒乓
FC409,大菊,粉皇冠
FC410,大菊,羅莎諾粉
FC480,大菊,粉八媛
FC500,大菊,綠
FC501,大菊,綠絲菊
FC502,大菊,安娜深綠
FC508,大菊,綠乒乓
FC509,大菊,奇濃綠乒乓
FC600,大菊,白
FC601,大菊,日本白
FC602,大菊,白大將
FC603,大菊,白玉
FC604,大菊,白領
FC605,大菊,白鳳
FC606,大菊,精英白
FC607,大菊,大頭白
FC608,大菊,白乒乓
FC609,大菊,白東洋
FC610,大菊,丁字菊
FC611,大菊,白秀鳳
FC612,大菊,白雪山
FC613,大菊,白天星
FC614,大菊,雲水
FC615,大菊,國王
FC630,大菊,白麵線菊
FC645,大菊,白斯不列
FC680,大菊,白八媛
FC800,大菊,染色大菊
FD000,小菊,
FD001,小菊,混合色
FD100,小菊,紅
FD101,小菊,紅鳳
FD102,小菊,紅花娘
FD103,小菊,空心紅
FD104,小菊,紅銅錢
FD105,小菊,紅初朝
FD106,小菊,紅炎
FD107,小菊,大新紅
FD109,小菊,陽炎小紅
FD110,小菊,咖啡小紅
FD111,小菊,咖哩小紅
FD112,小菊,紅雲南菊
FD113,小菊,日本小紅
FD114,小菊,桃太郎
FD115,小菊,紅初鳳
FD116,小菊,林哥紅
FD117,小菊,紅日
FD118,小菊,哈雷紅
FD119,小菊,龍鳳小紅
FD120,小菊,紅天星
FD121,小菊,紅美人
FD122,小菊,湯匙紅
FD123,小菊,鑽石紅
FD124,小菊,龍鳳紫
FD125,小菊,大一點紅
FD126,小菊,百花小紅
FD127,小菊,雙色紅
FD128,小菊,老虎紅
FD129,小菊,小桃紅
FD130,小菊,露水小紅
FD131,小菊,小紅娘
FD132,小菊,珍珠紅
FD133,小菊,日本絨紅
FD134,小菊,紅如意
FD135,小菊,紅玫
FD136,小菊,法國小紅
FD137,小菊,小老虎紅
